ds,yhat,yhat_lower,yhat_upper
2023-05-15,218.26295610870358,203.97342950296525,231.17398375529328
2023-05-16,219.78599919093747,206.3528181764411,233.15151288961053
2023-05-17,220.21182027454896,206.89337082669135,234.04883284640644
2023-05-18,220.11330330557044,206.62692947680895,233.56921236673782
2023-05-19,220.45451580130333,207.08338219670284,233.56769491637783
2023-05-20,219.263762917756,206.22944535866938,231.76289356659146
2023-05-21,216.04427949769803,202.4607127556243,228.93055733699862
2023-05-22,219.09219596629504,207.04010426450876,233.40892276184445
2023-05-23,220.52512772908403,206.99698499011382,234.22073285347312
2023-05-24,220.8270250152575,208.35689843028112,234.84742802467116
2023-05-25,220.57694423838052,206.94949115568446,233.03611487092306
2023-05-26,220.74613616109116,206.83582878607677,233.3998604000811
2023-05-27,219.3678372134066,205.74569160892437,233.78192180309895
2023-05-28,215.9518475812742,202.2016701954482,229.92070396671602
2023-05-29,218.8090618014689,205.46992161357844,231.69988044003966
2023-05-30,220.0567448216239,205.7561540577071,233.00310501722018
2023-05-31,220.185891666395,206.50319146090683,232.22205737771523
2023-06-01,219.78215056662538,206.54649654554382,232.7559019135616
2023-06-02,219.8230076858864,206.8439560217474,232.57306369499616
2023-06-03,218.34434160323084,205.16962718877082,231.49393941759757
2023-06-04,214.85895218719006,201.10287523018565,228.4497282070687
2023-06-05,217.68775782118513,204.59132008159534,231.2926390574455
2023-06-06,218.94189451983334,205.93191773698965,231.48360971413322
2023-06-07,219.11275254609674,205.09814207353605,233.8196083567848
2023-06-08,218.78524453746863,205.83832627666436,232.09264677269314
2023-06-09,218.93530071366536,206.46725317262553,232.5776975036537
2023-06-10,217.59341509907077,203.7270250750823,230.7316425396102
2023-06-11,214.26736192241094,200.64254352508325,227.88165944253097
2023-06-12,217.28029761536828,204.1966848301115,230.40725086991148
2023-06-13,218.729915687588,205.44798585588472,232.00180812307852
2023-06-14,219.101380829837,206.7571529318586,231.98589978632074
2023-06-15,218.9731439864377,205.88898961787464,231.88690051357298
2023-06-16,219.31492548281844,206.80524462860393,232.9073404456594
2023-06-17,218.148400656626,205.2813656307995,231.5753165303392
2023-06-18,214.97421724278834,201.23628196436883,227.77086686859707
2023-06-19,218.11707790579393,204.90756712587162,231.554645028242
2023-06-20,219.66198649977136,206.40101549076806,232.57179948839473
2023-06-21,220.09007384405683,207.4840993996771,232.6554966539747
2023-06-22,219.9769123548226,206.93808399371048,233.6927507537341
2023-06-23,220.29089918030053,206.64629606496422,232.87942102716912
2023-06-24,219.05095500944637,206.13935578625646,231.51663309774497
2023-06-25,215.7576811996973,202.22969175284112,229.239338016823
2023-06-26,218.74523090825852,205.12349448074582,231.82196712495755
2023-06-27,220.0944293251852,206.501539243265,233.428497775835
2023-06-28,220.2912541975666,206.46702246637446,233.09789310568232
2023-06-29,219.91740013687692,207.5899631877991,234.65753131303168
2023-06-30,219.94880587364585,206.50800389725177,233.9878158709214
2023-07-01,218.410111514768,205.778945275688,232.7958243828664
2023-07-02,214.80970901547664,201.67046434059515,228.8956247960382
2023-07-03,217.498170818542,203.43858672189373,229.40404773422173
2023-07-04,218.55803486085443,205.170276780162,230.9699200877643
2023-07-05,218.48475854439096,204.59691122746776,231.61630186849163
2023-07-06,217.86938457030732,204.72958586389416,231.05848049395482
2023-07-07,217.69710167242758,203.8352078256066,230.41075468748838
2023-07-08,215.99839051990907,201.77804091536507,229.16404780010387
2023-07-09,212.28794077365117,198.98007041368427,225.67980542822045
2023-07-10,214.92965453485795,202.02688871877655,228.337057416569
2023-07-11,216.00315728439742,202.4248281704016,229.6614773196998
2023-07-12,216.00732889572726,202.53464713031912,229.30385936669217
2023-07-13,215.535214421833,202.20169021486527,229.44928263621648
2023-07-14,215.5727978461838,202.29082653938528,228.75601236599493
2023-07-15,214.14704755139425,200.97113774143475,227.59757833723185
2023-07-16,210.76893664876152,197.89022763574945,223.50256956349224
2023-07-17,213.80527734998518,200.3942987991348,227.1197514783069
2023-07-18,215.32222648189276,202.31082140297076,228.544404896785
2023-07-19,215.8116674523197,202.5132731333608,228.8650008271873
2023-07-20,215.85863774710367,202.63259148786904,228.29788997867772
2023-07-21,216.44057792310207,202.8495284060488,229.0866847269879
2023-07-22,215.57252220357245,202.452328781861,229.39746745541444
2023-07-23,212.75444429261694,200.27990193851358,227.90663000995232
2023-07-24,216.35011547876312,203.49452112955703,229.60177435338062
2023-07-25,218.40776287556017,204.99258713405064,231.39978254423787
2023-07-26,219.40942152189706,206.23276035704026,232.99338204107124
2023-07-27,219.93095555491055,206.85817136974856,232.99533260163034
2023-07-28,220.94181510087918,207.328733055486,234.3705694336098
2023-07-29,220.4473594597237,207.1526498851756,234.31292504213746
2023-07-30,217.94047102360608,204.66634031261182,231.31295588910066
2023-07-31,221.78733646160248,209.14423627400043,235.48010848512797
2023-08-01,224.02511651683855,210.8467583564317,236.4931613290054
2023-08-02,225.1340904054444,212.2203577848694,238.9286457404933
2023-08-03,225.69006100711036,212.6929983322158,238.66863247559849
2023-08-04,226.6643838749009,213.17182343952686,241.1357614655527
2023-08-05,226.06316750875015,212.9822979077529,239.36762283173522
2023-08-06,223.38288707596297,209.59374738314082,236.243121109681
2023-08-07,227.002814820413,213.62783746311035,241.4754070522968
2023-08-08,228.9594293798427,215.9946061600684,241.80840607701083
2023-08-09,229.74108956588168,215.39956290896552,243.86169373938316
2023-08-10,229.93257679499104,216.68217903904676,243.17603326192943
2023-08-11,230.51517213251316,217.02996061855657,244.66072387721871
2023-08-12,229.50253816677443,216.28951249839017,242.68717328475833
2023-08-13,226.40017073603454,213.45949347077973,240.31918852220477
2023-08-14,229.60435461049454,216.87074222895586,243.40727260755443
2023-08-15,231.15322931853086,217.47199448013794,244.69112604748545
2023-08-16,231.5439521984225,218.39784691541175,245.35071532064487
2023-08-17,231.36938164063224,217.90038425078626,245.89242817601703
2023-08-18,231.61824899738707,218.33071291750252,243.78170489846485
2023-08-19,230.30781054949648,217.03504771668764,243.43713124264383
2023-08-20,226.94726466404205,213.52414915691068,240.2389767051892
2023-08-21,229.94339533075117,216.52860005974705,243.5513728371185
2023-08-22,231.32848752543177,217.98327251674797,244.75054904389236
